"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Poll Votes","Tags"
"10/23/2025 10:30 am","18394766557193679","Instagram","Post","Carousel","wichitastateu"," ","https://www.instagram.com/p/DQKCdoHjrrP/","WSU Physical Therapy student stepped into the challenges many older adults face with a homemade aging-simulation suit. 

“It’s hot, it’s tiring, and it makes the simplest tasks frustrating,” said Dr. Justin Smith, assistant professor and board-certified geriatric clinical specialist. “But if even one student walks away with a deeper understanding of what their future patients live with, it’s worth it.”

Read more about this custom age-simulation suit at the 🔗 link in our bio",,"25,765","25,765","","6,238","6,238","","","0.96%","247","218","218","","","","","","","2","25","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/19/2025 8:23 am","17948966639994816","Instagram","Post","Photo","wichitastateu"," ","https://www.instagram.com/p/DLFXqkVsQya/","Today, we recognize Juneteenth — a day of freedom, remembrance and resilience. Learn more at Juneteenth.com.",,"15,204","15,204","","5,323","5,323","","","1.62%","246","236","236","","","","","","","1","7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/2/2025 8:47 am","18029948933751950","Instagram","Reel","Video","wichitastateu","Tate Penner","https://www.instagram.com/reel/DRw9EFUjxMl/","Shocker Success Center = one space, dozens of support services and a year of helping Shockers succeed 💛

Thanks to Shamarie, sophomore biomedical student, for narrating the video! @kxngmarie_242

Find out what’s offered and where to go: link in bio",,"7,373","7,373","","4,157","4,157","","","3.32%","245","191","191","","","","","","","4","48","2","","","","","","","","","7,373","7,373","","","","","","","","","","","","","","","","","","","","","","","","","","","Access/Affordability, Campus Communication, Student Life"
"3/26/2025 3:55 pm","17975957579696335","Instagram","Post","Photo","wichitastateu"," ","https://www.instagram.com/p/DHrT1OmAtn6/","Join us April 26-27 as we celebrate 50 years of @ShockerRowing! 🚣‍♀️💛 Enjoy a weekend of rowing, reunions and special events — including an alumni row, community open house and the Plains Regional Regatta. For more info and to RSVP for events, visit the 🔗 link in bio.",,"7,775","7,775","","4,816","4,816","","","3.14%","244","220","220","","","","","","","3","20","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Athletics"
"4/23/2025 2:01 pm","18055813516977421","Instagram","Reel","Video","wichitastateu"," ","https://www.instagram.com/reel/DIzM2ZdtH7t/","Meet Maley Hansen, a sophomore from Wichita who wasted no time turning ambition into action. Just one week after graduating high school, she opened her own business right in her neighborhood.

At @wsubusinessschool — ranked in the top 1% of business schools worldwide — Maley is gaining hands-on experience and mentorship that's shaping her into a next-gen leader.

📈 Real-world impact. 🌎 Global recognition. 💼 Career-ready confidence. That's what business looks like at Wichita State. #ShockersUp #TheCollegeTour",,"9,740","9,740","","4,891","4,891","","","2.47%","241","218","218","","","","","","","1","15","7","","","","","","","","","9,740","9,740","","","","","","","","","","","","","","","","","","","","","","","","","","","Business"
"12/29/2025 11:35 am","18059688887308323","Instagram","Post","Carousel","wichitastateu","Tate Penner","https://www.instagram.com/p/DS2x9ZuD1cP/","The posts you loved the most in 2025 💛🌾",,"12,779","12,779","","4,105","4,105","","","1.83%","234","226","226","","","","","","","0","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/12/2025 1:47 pm","18049548221660683","Instagram","Reel","Video","wichitastateu","Tate Penner","https://www.instagram.com/reel/DQ9_rVVjN81/","Different sports. Same drive. Shockers stay moving.

The fall Shocker lineup ⬇️⬇️⬇️
@goshockersmbb
@goshockersvb
@goshockerssb
@goshockerswbb
@goshockersmglf
@goshockersbsb
@goshockersbowl",,"9,143","9,143","","5,124","5,124","","","2.45%","224","208","208","","","","","","","0","15","1","","","","","","","","","9,143","9,143","","","","","","","","","","","","","","","","","","","","","","","","","","","Athletics"
"8/1/2025 12:15 pm","18065289440517101","Instagram","Reel","Video","wichitastateu"," ","https://www.instagram.com/reel/DM0zYuVOxVm/","📦 Unboxing alert: Check out @wsupresident as he gets a first look at his new book, “Student Centered, Innovation Driven.” This book shares WSU’s transformation from a mid-sized public research university into a national model for applied learning, research and industry collaboration.

📖 Pre-order at the 🔗 in bio. Use 24STUDENT for 30% off + free US shipping.",,"8,190","8,190","","5,492","5,492","","","2.74%","224","214","214","","","","","","","0","6","4","","","","","","","","","8,190","8,190","","","","","","","","","","","","","","","","","","","","","","","","","","","Student Centered, Innovation Driven"
"3/18/2025 12:46 pm","17927822760013034","Instagram","Post","Photo","wichitastateu"," ","https://www.instagram.com/p/DHWX2G9yPnx/","No travel plans this week? No problem! Wichita State is packed with family-friendly activities perfect for a spring break staycation. Explore the Ulrich Museum of Art, take a selfie tour around campus, bowl a round at Shocker Sports Grill & Lanes, grab a bite at Braeburn Square and more! 🤩🌾

📍Plan your visit at the link in bio.",,"8,264","8,264","","4,859","4,859","","","2.7%","223","212","212","","","","","","","0","9","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Community Engagement, Evergreen"
"4/17/2025 1:11 pm","18065187673814158","Instagram","Post","Photo","wichitastateu"," ","https://www.instagram.com/p/DIjqjVtMBl3/","Daniel Reichart uses advanced simulations to study how a CubeSat detector can identify space particles like electrons, protons and alpha particles. His work, guided by physics professor Dr. Nick Solomey and supported by NASA’s Jumpstart Program, contributes to understanding radiation hazards in space and showcases how undergraduates can play a vital role in space research. 🔗 Full story in bio.",,"7,671","7,671","","4,869","4,869","","","2.89%","222","204","204","","","","","","","1","12","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Growing Innovation/Research, Honors College, Liberal Arts and Sciences"
